Tratamiento;trat;bloque;plot;date;label;obs;exp.flux;t1;v1;v4;soilmo.perc;tcham;pressure;h20;co2;cdry;rh;tbench;fitstatus;licor
pre;N;1;1;23/4/2017 15:33;a;60;6,31;26,13;1,91;28,359;54,5;28,34;98,98;34,438;497,32;515,06;88,05;51,5;Exp 3;1
pre;N;1;1;23/4/2017 15:36;a;61;5,55;26,05;1,911;28,22;54,5;28,27;98,99;34,728;534,29;553,52;89,19;51,5;Lin;1
pre;N;1;1;23/4/2017 15:39;a;62;5,74;26,02;1,912;28,062;54,5;28,17;99;34,063;498,63;516,22;88,02;51,52;Exp 2;1
pre;N;1;1;23/4/2017 15:48;d;63;5,12;26,02;2,364;28,185;54,2;28,11;99,04;34,03;482,79;499,8;88,23;51,52;Lin;1
pre;N;1;1;23/4/2017 15:51;d;64;5,23;25,92;2,37;28,178;54,2;28,03;99,04;34,065;488,09;505,3;88,75;51,51;Exp 2;1
pre;N;1;1;23/4/2017 15:54;d;65;5,08;25,91;2,374;28,134;54,2;27,97;99,05;33,48;467,16;483,34;87,48;51,51;Lin;1
pre;N;1;1;23/4/2017 16:04;b;66;5,99;26,26;2,352;28,061;54,2;28,02;99,04;34,27;529,61;548,4;89,37;51,52;Exp 2;1
pre;N;1;1;23/4/2017 16:07;b;67;5,58;26,2;2,354;27,921;54,2;27,97;99,06;34,467;514,37;532,73;90,15;51,5;Lin;1
pre;N;1;1;23/4/2017 16:10;b;68;5,58;26,14;2,354;27,862;54,2;27,93;99,07;34,223;506,01;523,94;89,7;51,52;Lin;1
pre;C;1;2;23/4/2017 14:37;a;51;2,9;25,81;2,309;28,715;54,3;29,05;99;34,384;466,06;482,66;84,38;51,47;Lin;1
pre;C;1;2;23/4/2017 14:40;a;52;3,09;25,76;2,326;28,552;54,3;28,95;99,01;34,128;460,76;477,04;84,26;51,51;Exp;1
pre;C;1;2;23/4/2017 14:43;a;53;3,01;25,77;2,326;28,392;54,3;28,87;99,01;33,877;452,55;468,42;84,03;51,51;Lin;1
pre;C;1;2;23/4/2017 14:53;d;54;7,34;26,21;1,661;28,348;54,6;28,86;99,01;34,149;481,06;498,07;84,74;51,51;Exp 2;1
pre;C;1;2;23/4/2017 14:56;d;55;7,16;26,16;1,652;28,138;54,6;28,8;99,02;34,508;480,25;497,42;85,89;51,49;Exp 2;1
pre;C;1;2;23/4/2017 14:59;d;56;7,57;26,19;1,654;28,077;54,6;28,83;99,01;34,465;479,2;496,3;85,64;51,5;Exp 2;1
pre;C;1;2;23/4/2017 15:09;b;57;5,89;26,03;1,893;28,794;54,5;28,64;99;34,295;467,11;483,69;86,2;51,52;Exp 2;1
pre;C;1;2;23/4/2017 15:12;b;58;5,54;25,85;1,891;28,599;54,5;28,51;99;34,225;480,17;497,19;86,66;51,51;Lin;1
pre;C;1;2;23/4/2017 15:15;b;59;5,48;25,85;1,89;28,487;54,5;28,42;98,99;34,203;482,15;499,23;87,05;51,51;Exp 2;1
pre;NP;1;3;23/4/2017 13:44;a;42;12,09;26,21;2,077;29,917;54,4;29,58;99,05;35,731;465,15;482,39;85,1;51,65;Exp;1
pre;NP;1;3;23/4/2017 13:47;a;43;9,63;26,26;2,075;29,969;54,4;29,54;99,07;35,488;487,41;505,35;84,71;51,49;Exp;1
pre;NP;1;3;23/4/2017 13:50;a;44;9,63;26,25;2,073;29,837;54,4;29,51;99,07;35,837;489,16;507,34;85,73;51,5;Exp;1
pre;NP;1;3;23/4/2017 13:58;b;45;4,02;26,15;1,818;30,389;54,5;29,77;99,05;35,515;466,59;483,77;83,6;51,49;Exp;1
pre;NP;1;3;23/4/2017 14:01;b;46;3,87;25,98;1,818;30,469;54,5;29,72;99,05;34,054;443,64;459,28;80,44;51,5;Lin;1
pre;NP;1;3;23/4/2017 14:04;b;47;4,06;25,95;1,818;30,507;54,5;29,78;99,04;34,298;432,44;447,8;80,75;51,49;Exp;1
pre;NP;1;3;23/4/2017 14:12;d;48;4,33;25,86;2,255;29,644;54,3;29,41;99,04;34,459;465,17;481,77;82,87;51,5;Exp;1
pre;NP;1;3;23/4/2017 14:15;d;49;4,33;25,7;2,248;29,571;54,3;29,15;99,03;34,794;474,43;491,54;84,93;51,5;Exp;1
pre;NP;1;3;23/4/2017 14:18;d;50;4,08;25,66;2,246;29,559;54,3;29,07;99,03;35,19;475,72;493,07;86,29;51,52;Lin;1
pre;P;1;4;23/4/2017 13:36;a;46;5,01;26,07;;;;29,99;98,99;37,228;478,86;497,38;86,56;51,35;Exp 2;2
